"species","order","site","longitude","latitude","count","adult_body_mass","gestation_length","litter_size","max_longevity","sexual_maturity_age","diet_breadth"
"sp_039","Carnivora","fb_102",6.77182050900007,59.097357489,1,12792.49,161.73,2.84,216,756.6,1
"sp_048","Lagomorpha","fb_1001",20.7718205090001,52.597357489,1,3816.43,41.99,2.14,144,210.95,NA
"sp_048","Lagomorpha","fb_1038",5.77182050900007,52.097357489,1,3816.43,41.99,2.14,144,210.95,NA
"sp_048","Lagomorpha","fb_1000",20.2718205090001,52.597357489,1,3816.43,41.99,2.14,144,210.95,NA
"sp_048","Lagomorpha","fb_1037",5.27182050900007,52.097357489,1,3816.43,41.99,2.14,144,210.95,NA
"sp_048","Lagomorpha","fb_1002",21.2718205090001,52.597357489,1,3816.43,41.99,2.14,144,210.95,NA
"sp_048","Lagomorpha","fb_1036",4.77182050900007,52.097357489,1,3816.43,41.99,2.14,144,210.95,NA
"sp_048","Lagomorpha","fb_1040",6.77182050900007,52.097357489,1,3816.43,41.99,2.14,144,210.95,NA
"sp_048","Lagomorpha","fb_1039",6.27182050900007,52.097357489,1,3816.43,41.99,2.14,144,210.95,NA
"sp_048","Lagomorpha","fb_1035",4.27182050900007,52.097357489,1,3816.43,41.99,2.14,144,210.95,NA
"sp_050","Lagomorpha","fb_1008",-9.22817949099993,52.097357489,1,3105.42,50.1,3.16,NA,NA,NA
"sp_050","Lagomorpha","fb_1009",-8.72817949099993,52.097357489,1,3105.42,50.1,3.16,NA,NA,NA
"sp_050","Lagomorpha","fb_1010",-8.22817949099993,52.097357489,1,3105.42,50.1,3.16,NA,NA,NA
"sp_050","Lagomorpha","fb_1011",-7.72817949099993,52.097357489,1,3105.42,50.1,3.16,NA,NA,NA
"sp_050","Lagomorpha","fb_1007",-9.72817949099993,52.097357489,1,3105.42,50.1,3.16,NA,NA,NA
"sp_050","Lagomorpha","fb_104",7.77182050900007,59.097357489,1,3105.42,50.1,3.16,NA,NA,NA
"sp_050","Lagomorpha","fb_102",6.77182050900007,59.097357489,1,3105.42,50.1,3.16,NA,NA,NA
"sp_050","Lagomorpha","fb_103",7.27182050900007,59.097357489,1,3105.42,50.1,3.16,NA,NA,NA
"sp_050","Lagomorpha","fb_101",6.27182050900007,59.097357489,1,3105.42,50.1,3.16,NA,NA,NA
"sp_051","Carnivora","fb_104",7.77182050900007,59.097357489,1,19300,66.99,2.3,321.6,739.52,1
"sp_051","Carnivora","fb_103",7.27182050900007,59.097357489,1,19300,66.99,2.3,321.6,739.52,1
"sp_051","Carnivora","fb_102",6.77182050900007,59.097357489,1,19300,66.99,2.3,321.6,739.52,1
"sp_051","Carnivora","fb_101",6.27182050900007,59.097357489,1,19300,66.99,2.3,321.6,739.52,1
"sp_055","Carnivora","fb_1039",6.27182050900007,52.097357489,1,1675,29.86,3.78,217.2,742.46,1
"sp_055","Carnivora","fb_1001",20.7718205090001,52.597357489,1,1675,29.86,3.78,217.2,742.46,1
