"site";"species";"longitude";"latitude";"count";"sla";"n_mass";"wood_dens"
"PA_76916066010538";"acer_pensylvanicum";-77,74448;40,55336;1;25,2665021666667;2,221025493;0,44
"PA_58365466010538";"acer_pensylvanicum";-78,188421;41,108761;1;25,2665021666667;2,221025493;0,44
"PA_10708372010661";"acer_pensylvanicum";-77,47193;40,94451;1;25,2665021666667;2,221025493;0,44
"PA_222095384010661";"acer_pensylvanicum";-78,13664;41,65312;3;25,2665021666667;2,221025493;0,44
"PA_10715685010661";"acer_pensylvanicum";-78,69419;40,91673;1;25,2665021666667;2,221025493;0,44
"PA_76916175010538";"acer_pensylvanicum";-77,4004;40,82508;4;25,2665021666667;2,221025493;0,44
"PA_10787433010661";"acer_pensylvanicum";-77,94416;41,50007;1;25,2665021666667;2,221025493;0,44
"PA_10750844010661";"acer_pensylvanicum";-79,05531;40,75006;2;25,2665021666667;2,221025493;0,44
"PA_58195303010538";"acer_pensylvanicum";-75,50947;41,99365;9;25,2665021666667;2,221025493;0,44
"PA_58301687010538";"acer_pensylvanicum";-75,09335;41,71042;3;25,2665021666667;2,221025493;0,44
"PA_113492613010661";"acer_pensylvanicum";-76,367359;41,327915;2;25,2665021666667;2,221025493;0,44
"PA_222095400010661";"acer_pensylvanicum";-78,13838;41,34442;3;25,2665021666667;2,221025493;0,44
"PA_10787534010661";"acer_pensylvanicum";-77,83305;41,61118;1;25,2665021666667;2,221025493;0,44
"PA_247104809010661";"acer_pensylvanicum";-76,65096;41,7612;1;25,2665021666667;2,221025493;0,44
"PA_68294775010538";"acer_pensylvanicum";-76,41601;41,36635;5;25,2665021666667;2,221025493;0,44
"PA_145021095010661";"acer_pensylvanicum";-77,681812;41,33325;3;25,2665021666667;2,221025493;0,44
"PA_168997628010661";"acer_pensylvanicum";-77,8657;40,99618;1;25,2665021666667;2,221025493;0,44
"PA_113492825010661";"acer_pensylvanicum";-77,789041;40,386668;2;25,2665021666667;2,221025493;0,44
"PA_10708477010661";"acer_pensylvanicum";-77,44416;40,91674;4;25,2665021666667;2,221025493;0,44
"PA_58319312010538";"acer_pensylvanicum";-78,89666;41,81873;1;25,2665021666667;2,221025493;0,44
"PA_222095436010661";"acer_pensylvanicum";-78,76483;39,91153;4;25,2665021666667;2,221025493;0,44
"PA_58266592010538";"acer_pensylvanicum";-76,38674;41,39452;7;25,2665021666667;2,221025493;0,44
"PA_247104589010661";"acer_pensylvanicum";-78,47423;40,39256;1;25,2665021666667;2,221025493;0,44
"PA_247104813010661";"acer_pensylvanicum";-76,7968;41,53346;9;25,2665021666667;2,221025493;0,44
"PA_10695677010661";"acer_pensylvanicum";-76,33299;41,66674;3;25,2665021666667;2,221025493;0,44
"PA_247105124010661";"acer_pensylvanicum";-77,8286;39,98117;1;25,2665021666667;2,221025493;0,44
"PA_10697314010661";"acer_pensylvanicum";-76,66634;41,91674;1;25,2665021666667;2,221025493;0,44
"PA_247104869010661";"acer_pensylvanicum";-76,36933;41,35435;1;25,2665021666667;2,221025493;0,44
"PA_247104520010661";"acer_pensylvanicum";-79,1532;40,11268;11;25,2665021666667;2,221025493;0,44
